Name,Highest Rated Attacker,Highest Rated Midfielder,Highest Rated Defender,GK Rating,Mean Defense Rating,Mean Midfield Rating,Mean Attack Rating,Mean Team Rating,League Position,Points
Napoli,85.00,82.00,88.00,79.00,80.00,75.71,78.63,77.24,5.00,77.00
Milan,83.00,77.00,83.00,85.00,75.20,73.50,76.40,75.53,2.00,79.00
Inter,85.00,85.00,85.00,88.00,82.00,80.73,83.00,81.33,1.00,91.00
Roma,83.00,80.00,81.00,83.00,77.75,77.88,80.50,78.76,7.00,62.00
Lazio,87.00,85.00,83.00,83.00,76.33,76.69,82.00,77.57,6.00,68.00
Atalanta,84.00,86.00,76.00,79.00,72.25,76.73,74.33,75.19,3.00,78.00
Juventus,92.00,84.00,87.00,87.00,78.43,75.33,86.25,78.42,4.00,78.00
Bologna,72.00,76.00,74.00,72.00,71.88,73.17,71.00,72.00,12.00,41.00
Fiorentina,81.00,84.00,78.00,53.00,68.33,72.40,71.00,70.90,13.00,40.00
Udinese,75.00,80.00,74.00,80.00,71.56,74.14,71.80,72.78,14.00,40.00
Crotone,74.00,73.00,73.00,72.00,68.33,67.38,62.38,65.82,19.00,23.00
Torino,80.00,78.00,80.00,84.00,73.25,73.83,72.80,73.65,17.00,37.00
Verona,75.00,74.00,72.00,69.00,67.75,69.63,68.43,68.00,10.00,45.00
Sassuolo,72.00,80.00,74.00,81.00,70.56,72.50,72.00,71.21,8.00,62.00
Parma,78.00,77.00,74.00,70.00,69.25,71.29,67.83,69.08,20.00,20.00
Sampdoria,76.00,78.00,74.00,71.00,70.33,69.86,67.00,69.00,9.00,52.00
Genoa,72.00,74.00,74.00,82.00,70.25,66.25,66.00,68.38,11.00,42.00
Cagliari,74.00,83.00,74.00,81.00,69.43,70.22,66.83,69.00,16.00,37.00
Benevento,74.00,73.00,74.00,72.00,68.75,71.60,70.75,70.00,18.00,33.00
