Fifa 22,Highest Rated Attacker,Highest Rated Midfielder,Highest Rated Defender,GK Rating,Mean Defense Rating,Mean Midfield Rating,Mean Attack Rating,Mean Team Rating
Napoli,86.00,82.00,88.00,79.00,80.44,77.63,81.00,79.67
Milan,84.00,84.00,86.00,84.00,80.00,78.89,78.60,79.38
Inter,85.00,86.00,86.00,86.00,80.45,81.82,82.50,81.06
Roma,83.00,81.00,83.00,82.00,77.25,78.25,78.20,78.05
Juventus,87.00,84.00,87.00,88.00,81.70,80.89,82.60,81.96
Bologna,81.00,78.00,77.00,75.00,72.44,73.91,72.40,73.15
Fiorentina,78.00,80.00,79.00,77.00,74.43,75.60,74.33,74.65
Udinese,75.00,80.00,75.00,79.00,72.86,74.11,72.33,73.46
Empoli,73.00,72.00,73.00,71.00,69.86,69.13,70.50,69.75
Torino,81.00,78.00,79.00,76.00,73.20,72.30,72.14,72.62
Verona,78.00,78.00,81.00,74.00,74.30,74.33,74.67,74.25
Sassuolo,82.00,77.00,75.00,81.00,71.40,73.56,76.75,73.36
Venezia,74.00,72.00,76.00,70.00,69.78,68.22,70.00,69.22
Sampdoria,82.00,79.00,74.00,78.00,72.00,74.89,76.80,74.22
Genoa,78.00,76.00,76.00,82.00,72.75,72.10,75.33,72.80
Cagliari,80.00,77.00,80.00,81.00,70.13,71.40,76.50,71.88
Salernitana,74.00,73.00,73.00,73.00,66.80,67.88,69.67,67.79
