Team Home,Team Away,Result,Real
Atalanta,Verona,0–2,0
Atalanta,Lazio,1–3,0
Atalanta,Milan,0–2,0
Atalanta,Sampdoria,1–3,0
Atalanta,Genoa,0–0,0.5
Atalanta,Inter,1–1,0.5
Atalanta,Torino,3–3,0.5
Atalanta,Benevento,2–0,1
Atalanta,Bologna,5–0,1
Atalanta,Cagliari,5–2,1
Atalanta,Crotone,5–1,1
Atalanta,Fiorentina,3–0,1
Atalanta,Juventus,1–0,1
Atalanta,Napoli,4–2,1
Atalanta,Parma,3–0,1
Atalanta,Roma,4–1,1
Atalanta,Sassuolo,5–1,1
Atalanta,Spezia,3–1,1
Atalanta,Udinese,3–2,1
Benevento,Atalanta,1–4,0
Benevento,Cagliari,1–3,0
Benevento,Fiorentina,1–4,0
Benevento,Verona,0–3,0
Benevento,Inter,2–5,0
Benevento,Milan,0–2,0
Benevento,Napoli,1–2,0
Benevento,Sassuolo,0–1,0
Benevento,Spezia,0–3,0
Benevento,Udinese,2–4,0
Benevento,Crotone,1–1,0.5
Benevento,Juventus,1–1,0.5
Benevento,Lazio,1–1,0.5
Benevento,Parma,2–2,0.5
Benevento,Roma,0–0,0.5
Benevento,Sampdoria,1–1,0.5
Benevento,Torino,2–2,0.5
Benevento,Bologna,1–0,1
Benevento,Genoa,2–0,1
Bologna,Genoa,0–2,0
Bologna,Inter,0–1,0
Bologna,Juventus,1–4,0
Bologna,Milan,1–2,0
Bologna,Napoli,0–1,0
Bologna,Roma,1–5,0
Bologna,Sassuolo,3–4,0
Bologna,Atalanta,2–2,0.5
Bologna,Benevento,1–1,0.5
Bologna,Fiorentina,3–3,0.5
Bologna,Torino,1–1,0.5
Bologna,Udinese,2–2,0.5
Bologna,Cagliari,3–2,1
Bologna,Crotone,1–0,1
Bologna,Verona,1–0,1
Bologna,Lazio,2–0,1
Bologna,Parma,4–1,1
Bologna,Sampdoria,3–1,1
Bologna,Spezia,4–1,1
Cagliari,Atalanta,0–1,0
Cagliari,Benevento,1–2,0
Cagliari,Genoa,0–1,0
Cagliari,Verona,0–2,0
Cagliari,Inter,1–3,0
Cagliari,Juventus,1–3,0
Cagliari,Lazio,0–2,0
Cagliari,Milan,0–2,0
Cagliari,Napoli,1–4,0
Cagliari,Torino,0–1,0
Cagliari,Fiorentina,0–0,0.5
Cagliari,Sassuolo,1–1,0.5
Cagliari,Spezia,2–2,0.5
Cagliari,Udinese,1–1,0.5
Cagliari,Bologna,1–0,1
Cagliari,Crotone,4–2,1
Cagliari,Parma,4–3,1
Cagliari,Roma,3–2,1
Cagliari,Sampdoria,2–0,1
Crotone,Atalanta,1–2,0
Crotone,Bologna,2–3,0
Crotone,Cagliari,0–2,0
Crotone,Genoa,0–3,0
Crotone,Inter,0–2,0
Crotone,Lazio,0–2,0
Crotone,Milan,0–2,0
Crotone,Napoli,0–4,0
Crotone,Roma,1–3,0
Crotone,Sampdoria,0–1,0
Crotone,Sassuolo,1–2,0
Crotone,Udinese,1–2,0
Crotone,Fiorentina,0–0,0.5
Crotone,Juventus,1–1,0.5
Crotone,Benevento,4–1,1
Crotone,Verona,2–1,1
Crotone,Parma,2–1,1
Crotone,Spezia,4–1,1
Crotone,Torino,4–2,1
Fiorentina,Atalanta,2–3,0
Fiorentina,Benevento,0–1,0
Fiorentina,Inter,0–2,0
Fiorentina,Milan,2–3,0
Fiorentina,Napoli,0–2,0
Fiorentina,Roma,1–2,0
Fiorentina,Sampdoria,1–2,0
Fiorentina,Bologna,0–0,0.5
Fiorentina,Genoa,1–1,0.5
Fiorentina,Verona,1–1,0.5
Fiorentina,Juventus,1–1,0.5
Fiorentina,Parma,3–3,0.5
Fiorentina,Sassuolo,1–1,0.5
Fiorentina,Cagliari,1–0,1
Fiorentina,Crotone,2–1,1
Fiorentina,Lazio,2–0,1
Fiorentina,Spezia,3–0,1
Fiorentina,Torino,1–0,1
Fiorentina,Udinese,3–2,1
Genoa,Atalanta,3–4,0
Genoa,Inter,0–2,0
Genoa,Juventus,1–3,0
Genoa,Parma,1–2,0
Genoa,Roma,1–3,0
Genoa,Sassuolo,1–2,0
Genoa,Torino,1–2,0
Genoa,Benevento,2–2,0.5
Genoa,Fiorentina,1–1,0.5
Genoa,Verona,2–2,0.5
Genoa,Lazio,1–1,0.5
Genoa,Milan,2–2,0.5
Genoa,Sampdoria,1–1,0.5
