0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Napoli,Milan,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38
Napoli,Inter,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06
Napoli,Roma,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05
Napoli,Juventus,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96
Napoli,Bologna,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15
Napoli,Fiorentina,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65
Napoli,Udinese,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46
Napoli,Empoli,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,73.0,72.0,73.0,71.0,69.86,69.13,70.5,69.75
Napoli,Torino,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,81.0,78.0,79.0,76.0,73.2,72.3,72.14,72.62
Napoli,Verona,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,78.0,78.0,81.0,74.0,74.3,74.33,74.67,74.25
Napoli,Sassuolo,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,82.0,77.0,75.0,81.0,71.4,73.56,76.75,73.36
Napoli,Venezia,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,74.0,72.0,76.0,70.0,69.78,68.22,70.0,69.22
Napoli,Sampdoria,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,82.0,79.0,74.0,78.0,72.0,74.89,76.8,74.22
Napoli,Genoa,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,78.0,76.0,76.0,82.0,72.75,72.1,75.33,72.8
Napoli,Cagliari,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,80.0,77.0,80.0,81.0,70.13,71.4,76.5,71.88
Napoli,Salernitana,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67,74.0,73.0,73.0,73.0,66.8,67.88,69.67,67.79
Milan,Napoli,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67
Milan,Inter,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06
Milan,Roma,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05
Milan,Juventus,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96
Milan,Bologna,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15
Milan,Fiorentina,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65
Milan,Udinese,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46
Milan,Empoli,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,73.0,72.0,73.0,71.0,69.86,69.13,70.5,69.75
Milan,Torino,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,81.0,78.0,79.0,76.0,73.2,72.3,72.14,72.62
Milan,Verona,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,78.0,78.0,81.0,74.0,74.3,74.33,74.67,74.25
Milan,Sassuolo,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,82.0,77.0,75.0,81.0,71.4,73.56,76.75,73.36
Milan,Venezia,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,74.0,72.0,76.0,70.0,69.78,68.22,70.0,69.22
Milan,Sampdoria,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,82.0,79.0,74.0,78.0,72.0,74.89,76.8,74.22
Milan,Genoa,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,78.0,76.0,76.0,82.0,72.75,72.1,75.33,72.8
Milan,Cagliari,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,80.0,77.0,80.0,81.0,70.13,71.4,76.5,71.88
Milan,Salernitana,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38,74.0,73.0,73.0,73.0,66.8,67.88,69.67,67.79
Inter,Napoli,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67
Inter,Milan,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38
Inter,Roma,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05
Inter,Juventus,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96
Inter,Bologna,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15
Inter,Fiorentina,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65
